Sample#T	Dt31_Study#T	Dt31_Country#T	WebApp_Study#T	WebApp_Location#T	WebApp_Region#T	WebApp_SiteCode#T	Sol_study#T	Sol_location#T	Sol_region#T	Sol_latitude#T	Sol_longitude#T
PH0047-Cx	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0051-Cx	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0238-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0239-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0240-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0241-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0242-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0243-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0244-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0245-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0246-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0247-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0248-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0249-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0250-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0251-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0252-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0321-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0322-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0324-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0325-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0326-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0327-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0328-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0329-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0330-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0332-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0333-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0334-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0335-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0336-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0337-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0338-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0453-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0454-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0455-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0456-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0460-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0461-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0462-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0463-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0466-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0468-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0470-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0471-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0472-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0473-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
