chrom	pos_min	pos_mid	pos_max	pos_range	sample	cross
Pf3D7_01_v3	144877	145052	145227	350	B1SD/PG0015-C/ERR019044	hb3_dd2
Pf3D7_01_v3	163145	163584	164024	879	GC03/PG0021-C/ERR015447	hb3_dd2
Pf3D7_01_v3	205803	206769	207736	1933	XF12/PG0102-C/ERR029143	7g8_gb4
Pf3D7_01_v3	206074	206905	207736	1662	7C159/PG0040-Cx/ERR107475	hb3_dd2
Pf3D7_01_v3	206074	206905	207736	1662	CH3_61/PG0033-Cx/ERR175544	hb3_dd2
Pf3D7_01_v3	230219	232637	235056	4837	NIC_18_05_11/PG0095-CW/ERR045631	7g8_gb4
Pf3D7_01_v3	286863	287370	287878	1015	X2/PG0061-C/ERR019059	3d7_hb3
Pf3D7_01_v3	313904	314039	314174	270	TC08/PG0020-C/ERR019052	hb3_dd2
Pf3D7_01_v3	316513	317258	318003	1490	XD8_13_05_11/PG0105-CW/ERR045628	7g8_gb4
Pf3D7_01_v3	322254	323233	324213	1959	XP24/PG0058-C/ERR019063	3d7_hb3
Pf3D7_01_v3	323333	323773	324213	880	X2/PG0061-C/ERR019059	3d7_hb3
Pf3D7_01_v3	324060	324136	324213	153	GC03/PG0021-C/ERR015447	hb3_dd2
Pf3D7_01_v3	330720	332020	333320	2600	7C46/PG0046-Cx/ERR107476	hb3_dd2
Pf3D7_01_v3	343909	344484	345060	1151	XP5/PG0055-C/ERR019066	3d7_hb3
Pf3D7_01_v3	392220	392355	392491	271	7C126/PG0047-C/ERR015452	hb3_dd2
Pf3D7_01_v3	398369	398629	398889	520	X2/PG0061-C/ERR019059	3d7_hb3
Pf3D7_01_v3	403876	405139	406402	2526	AUD/PG0112-C/ERR029406	7g8_gb4
Pf3D7_01_v3	406402	406550	406699	297	QF5/PG0078-C/ERR029092	7g8_gb4
Pf3D7_01_v3	406699	408446	410193	3494	7C20/PG0037-C/ERR015451	hb3_dd2
Pf3D7_01_v3	413662	414419	415176	1514	QC23/PG0045-C/ERR012892	hb3_dd2
Pf3D7_01_v3	430948	432222	433497	2549	WF12/PG0097-C/ERR027109	7g8_gb4
Pf3D7_01_v3	522573	523063	523554	981	D2_18_05_11/PG0094-CW/ERR045632	7g8_gb4
Pf3D7_01_v3	543627	544317	545008	1381	SC01/PG0025-C/ERR019045	hb3_dd2
Pf3D7_01_v3	545714	548080	550447	4733	XE7/PG0106-C/ERR029407	7g8_gb4
Pf3D7_01_v3	550447	551008	551570	1123	NIC_18_05_11/PG0095-CW/ERR045631	7g8_gb4
Pf3D7_01_v3	555311	556198	557086	1775	GC06/PG0028-C/ERR015456	hb3_dd2
Pf3D7_02_v3	143543	144346	145149	1606	XP52/PG0060-C/ERR019058	3d7_hb3
Pf3D7_02_v3	151909	153576	155243	3334	JB8/PG0087-C/ERR029091	7g8_gb4
Pf3D7_02_v3	156104	156568	157033	929	7C424/PG0044-C/ERR019043	hb3_dd2
Pf3D7_02_v3	167317	168226	169136	1819	D43/PG0029-Cx/ERR107474	hb3_dd2
Pf3D7_02_v3	179137	180086	181036	1899	X6/PG0064-C/ERR019071	3d7_hb3
Pf3D7_02_v3	183453	184398	185343	1890	7C111/PG0038-C/ERR015457	hb3_dd2
Pf3D7_02_v3	208731	209008	209286	555	XP9/PG0057-C/ERR019069	3d7_hb3
Pf3D7_02_v3	209542	209611	209681	139	XP52/PG0060-C/ERR019058	3d7_hb3
Pf3D7_02_v3	212888	213843	214799	1911	QC23/PG0045-C/ERR012892	hb3_dd2
Pf3D7_02_v3	223017	224264	225512	2495	CH3_116/PG0032-Cx/ERR037703	hb3_dd2
Pf3D7_02_v3	239203	240720	242237	3034	7C408/PG0031-C/ERR015458	hb3_dd2
Pf3D7_02_v3	257473	258490	259507	2034	XF12/PG0102-C/ERR029143	7g8_gb4
Pf3D7_02_v3	262627	265808	268990	6363	JF6/PG0079-C/ERR027102	7g8_gb4
Pf3D7_02_v3	269971	270729	271487	1516	7C421/PG0043-C/ERR015459	hb3_dd2
Pf3D7_02_v3	339959	341487	343015	3056	XD8_13_05_11/PG0105-CW/ERR045628	7g8_gb4
Pf3D7_02_v3	346073	346395	346718	645	XP9/PG0057-C/ERR019069	3d7_hb3
Pf3D7_02_v3	347518	347907	348296	778	JC3/PG0077-CW/ERR045636	7g8_gb4
Pf3D7_02_v3	352988	353195	353403	415	XP52/PG0060-C/ERR019058	3d7_hb3
Pf3D7_02_v3	347518	354158	360799	13281	7C183/PG0042-C/ERR015448	hb3_dd2
Pf3D7_02_v3	356475	356772	357070	595	XP5/PG0055-C/ERR019066	3d7_hb3
